rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
2060,2426,26.18291071374936,-26.18291071374936,-26.18291071374936,True,1.5891087751381099,0.2309584842249751,0.8077750386670233,0.20344369292259215,1.0,0.5899231552090495,3.162153575167241,1.7762631475290434,2.441941706312669,16.0,7.0,19.0,8.0,601.9575134851038,2813.1919391453266,10.971323810517788
2061,2540,26.20896472763601,-26.20896472763601,-26.20896472763601,True,1.7397911606473706,0.31112643132177925,0.4083465387641373,0.26064214816625525,0.0,0.475646411235525,3.5858551326611776,0.9980207417990314,1.7199152320852746,19.0,10.0,24.0,12.0,516.7021737840672,2920.7119356373596,32.12461039758362
2062,3057,26.22730569145875,-26.22730569145875,-26.22730569145875,True,1.5692983387180892,0.2377459421127424,0.3196052353209684,0.2632428938202637,1.0,0.3012174593985679,5.040164670303115,1.9971527748361773,2.869924965951223,20.0,13.0,17.0,7.0,406.400262526291,1333.3972471042166,10.247067457002789
2063,338,26.238455395276553,-26.238455395276553,-26.238455395276553,True,1.2019757777224918,0.31607336307454637,0.534955047873333,0.2014042171439278,4.0,0.2104943664677306,2.178203504391856,0.09897350292728468,1.9776693837483839,19.0,12.0,18.0,10.0,473.8930284747052,2274.762369343577,22.715554169315975
2064,2047,26.243443477686032,-26.243443477686032,-26.243443477686032,True,1.3939231788091362,0.3755579318478704,0.4152726463973522,0.24656512316316365,1.0,0.519663683581911,7.409693446893796,2.8565112746497796,2.3713891322951057,10.0,7.0,12.0,6.0,593.9936631824821,2102.6193872094154,11.886113695800304
2065,2030,26.25911561085194,-26.25911561085194,-26.25911561085194,True,1.739797706779121,0.21946641003122178,0.4892211241265758,0.12316199490493482,2.0,0.32268789656297125,4.892778308837606,3.62156663230102,1.7082088350041493,18.0,12.0,16.0,10.0,304.88217392495613,2290.637715184461,33.57856375619491
2066,437,26.26247036436019,-26.26247036436019,-26.26247036436019,True,1.6394110859364939,0.26949840949882,0.5079241336939704,0.09672063137645842,2.0,0.43228641062402673,5.190313953274011,2.9944818275312963,2.820414119647312,10.0,7.0,12.0,6.0,551.418529983336,1957.5490061172895,19.893611176141864
2067,488,26.26891482862987,-26.26891482862987,-26.26891482862987,True,1.6866547368898988,0.2055176777392626,0.7029955082891707,0.27621133795762187,1.0,0.3724683386256896,0.9989558369503335,0.4265028528010717,2.5629189018462153,24.0,12.0,20.0,10.0,629.7345266211778,1079.8567775636911,22.14354552171543
2068,770,26.274398442618235,-26.274398442618235,-26.274398442618235,True,1.540660161169991,0.29182864169617967,0.4691202214429667,0.15028280198567634,4.0,0.19357731158951064,4.036619291010184,3.3941290207629624,3.1269447249881,13.0,10.0,11.0,8.5,551.3049479108709,1220.4215686850985,15.259286438161524
2069,44,26.278243566250985,-26.278243566250985,-26.278243566250985,True,1.683557257954266,0.24583579350262882,0.498237238638103,0.20187222357803886,2.0,0.3832598742857575,4.535000495934325,2.5143805147475096,2.871647938581005,12.0,8.0,15.0,10.0,462.68244369692184,1292.3475455566872,21.796472440834627
