rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
30,29,-1.5,1.5,True,1.1827155622777616,0.3211973520756572,0.6156481772542145,0.22599349713394729,5.0,18.755611724548256,1.0756382929113546,24.18222483295652,12.388592558748293,448.18062627452775,2130.9025243693013,0.9384647009937177,0.923548572225722
31,30,-1.5,1.5,True,0.962441495958801,0.36340670571727857,0.8735098930911706,0.22567777457156574,5.0,21.303219211056714,2.620622482859915,16.29924699890705,10.725717403968122,399.6381688149081,2022.4421245761591,0.9463156310359839,0.9233461923480231
32,31,-1.5,1.5,True,1.520878841927662,0.3278723479130523,0.8472232768812378,0.17505369354273503,5.0,19.879814993490406,2.885550012829388,19.049067245630088,12.314900171754594,453.5183969368808,1953.042358296082,0.7958919545454357,0.7486368418631262
33,32,-1.5,1.5,True,1.265991683069715,0.3606968836104052,0.6911338212356554,0.13980279215939823,5.0,21.015213181102144,1.6024436826271957,17.989722705223354,13.993392658523724,400.756795846323,1141.5277980965257,0.9697057624422509,0.5337489236226967
34,33,-1.5,1.5,True,0.96068975201601,0.30984538225769687,0.8111837004648716,0.16151806311062084,5.0,20.316664316726865,1.8719577460003567,16.602347520451513,13.131025526536831,430.75001634796445,1737.7556942608603,0.8599684285146378,0.6809521713897737
35,34,-1.5,1.5,True,0.9458551636525238,0.3537273754907493,0.5077697955469421,0.15685069044629324,5.0,21.567826703934657,1.512726062187065,22.600735635951516,10.395235464900477,418.3646520743551,1478.4184288166014,0.9766345465747905,0.813488942958104
36,35,-1.5,1.5,True,0.9223195457398643,0.39461157707419414,0.4531117480440056,0.21495291778061193,5.0,19.817090150877046,2.718718330397699,14.541129577036381,9.751305545171041,483.50772477028465,2632.109669177471,0.9160360872150287,0.8245779984375106
37,36,-1.5,1.5,True,1.2776180639111245,0.3507307771835716,0.765626816380007,0.1306404501716789,5.0,20.98582702230905,1.5375116276681304,14.956461854930598,8.974788018436092,411.3057274666214,1053.3762917807014,0.8629030657394117,0.8878970838982125
38,37,-1.5,1.5,True,1.5062309058755528,0.33789343519640896,0.6856244109724932,0.12475662767265056,5.0,18.67579944677037,1.0270540622794182,18.27214235640514,12.464757563548057,495.5699707679989,1460.7334764979705,0.8674443934352278,0.9670560227986132
39,38,-1.5,1.5,True,1.377927841923741,0.31351878102395686,0.8288828220636013,0.1763152701790756,5.0,20.138199733411493,1.8102834000569004,19.088596146379942,12.711993309161178,435.6877844692474,1915.9947291206681,0.8581312806926111,0.5386692332062
40,39,-1.5,1.5,True,1.411447307462542,0.3724026062966805,0.8722577744966619,0.2296842609815305,5.0,19.804393814432345,2.2714139409267315,14.16201671620042,8.783116402613677,419.57883251271016,1031.385829365283,0.9380451073032976,0.9549541821465418
41,40,-1.5,1.5,True,1.2115985061159378,0.3457075305117294,0.8659240269776487,0.143536051004728,5.0,20.956207096915193,1.3468491323963216,18.015022427989173,11.86519195095803,481.4728208654193,2455.517148848353,0.8363718313841719,0.7135592784052305
42,41,-1.5,1.5,True,1.0781463563094262,0.28823264751282923,0.8432265876227466,0.26089942365286584,5.0,20.565874192093837,1.180563515975963,16.825383154948987,10.776292699885541,336.14898500721574,1236.2140952576228,0.9505780858056978,0.968134325357402
43,42,-1.5,1.5,True,1.351485597409848,0.3805040469203891,0.7812356022543552,0.16481821157585738,5.0,19.251767649804084,1.4135097497141451,23.33265240828522,15.741983811799546,355.30014260695526,1524.2790748101338,0.9892188281363434,0.9702549666280064
44,43,-1.5,1.5,True,1.367682698896865,0.3403569978003422,0.7675228252730746,0.2613292566476218,5.0,20.906252305334124,1.7249782259845385,14.998098842148185,8.798553690729989,434.9089341610098,1257.9757223598126,0.9346070167835063,0.9248700618951897
45,44,-1.5,1.5,True,1.0541146806539408,0.3395316532279498,0.8768754203962079,0.2137379656128025,4.0,19.894476015904775,2.291706665209714,23.34267430994634,11.801066811310907,428.42349685194307,1516.368842843822,0.5719650868778321,0.8887952834569227
46,45,-1.5,1.5,True,1.106082093709096,0.37255999926234884,0.8439588520610216,0.12959449119933875,5.0,21.3623142560183,1.9216159977435017,17.653668925289708,10.862253700643308,409.99369369786797,1602.6799463707769,0.9441363579668338,0.62350090499994
47,46,-1.5,1.5,True,1.084775685432483,0.3294766650063685,0.5514253087101745,0.17594017509461113,5.0,19.777583290414817,1.540419657194258,20.619650290108883,11.213341902169713,432.2246784142119,1315.673308729817,0.9418965613431818,0.8628468842752604
48,47,-1.5,1.5,True,1.4602356757233044,0.3192646251728988,0.5945356576285349,0.28260252494919547,4.0,19.843461665047727,2.311145487358639,17.73083248619081,9.463303786099319,398.89030990918695,1679.8192858110137,0.9159544759737983,0.9223728867463242
49,48,-1.5,1.5,True,1.248395371332684,0.3662094454696273,0.6834218463943458,0.1748873849922214,4.0,20.36023083161032,1.391820023120987,22.01718497064403,13.321995144528543,382.62129423453456,1000.9840434110207,0.914445501418848,0.8579498589653032
