rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1862,2303,3.9417036408718333,-3.9417036408718333,-3.943792901588682,True,1.2863370559263694,0.3132397318560836,0.6007291967856861,0.09795035722539493,1.0,0.5922381542451354,1.277353690159405,2.6841011801859147,22.11080445532028,11.330367264720403,307.5166956593537,1541.2638493032878,0.724623541907784,0.9704206609399284,8
1863,222,3.962659293454322,-3.962659293454322,-3.962659293454322,True,1.3929010913544562,0.2602752869478099,0.8127758570702462,0.21851986786296038,3.0,0.6365571376219165,2.8314151423786793,1.1522019724241566,23.46539374941738,17.905919600364548,281.4778231084347,1999.2005190799694,0.5476999417826612,0.5633831233717501,6
1864,1766,3.96531761227004,-3.96531761227004,-3.96531761227004,True,1.6629587820901026,0.32657187417121264,0.6278054070675281,0.20292319198642683,2.0,0.656098447173271,0.45717984662301614,3.9986347233575623,20.4431728548646,14.932609568134891,333.22015728409133,1709.9647819435174,0.9913955184648682,0.9499984823201703,6
1865,220,4.011584539306849,-4.011584539306849,-4.011584539306849,True,1.8234655746321744,0.2201631748276,0.7240379178970329,0.12051153078188401,2.0,0.39357072913601476,4.586642915846339,3.759658966577236,17.85203700285664,9.907206718968315,377.6577007560309,2042.1658546633141,0.9513797782758762,0.6446571788272445,6
1866,1903,4.030425702900295,-4.030425702900295,-4.0307684126998,True,1.1485413853320923,0.37394008446226146,0.5941042003354913,0.2381104402656751,0.0,0.5837978199589826,9.159684633954464,2.8883841750125994,19.446148289615532,9.389217303633997,352.60426520835733,1876.8554337676999,0.7660517519609905,0.8284949281665968,8
1867,918,4.047649164929435,-4.047649164929435,-4.047649164929435,True,1.6116773547839374,0.31894957106560473,0.6596469774842263,0.22881874268874525,1.0,0.6833159137420356,4.290457268408234,3.378378378378378,12.601185641251504,6.944717421420887,467.11132107302547,2081.0466036200523,0.6471746191382408,0.7225091122090816,8
1868,2342,4.104950649994823,-4.104950649994823,-4.104950649994823,True,1.5750197097651109,0.2389188195046212,0.30397752989083526,0.10626988094300031,1.0,0.37430867486223574,10.117626129314468,1.1459744502790272,11.377254255881486,8.900108169395061,415.473409088558,1144.8374538981554,0.6092543992249149,0.8175618360908444,8
1869,248,4.170582603857587,-4.170582603857587,-4.170582603857587,True,1.679673616104143,0.20624874213230573,0.6316972514175538,0.1292630931056044,3.0,0.6088604467635367,0.8966488718196768,1.1948423986610461,21.931991212987292,9.2069600396659,289.1884816795946,1286.0825627079903,0.873555561939634,0.8495157165163042,6
1870,1521,4.170664986725351,-4.170664986725351,-4.170664986725351,True,1.8055209498938818,0.20997505273669959,0.3210942532652368,0.2501997881315525,1.0,0.25884429907083956,6.043495398624291,3.1586177740749024,14.317970621457171,8.169712400938964,455.1502573632668,2427.1576442176784,0.8295715401959632,0.6841805756608468,6
1871,809,4.152614325697202,-4.152614325697202,-4.172029862657769,True,1.3740658300722555,0.35087141764166074,0.6154796238988638,0.23041119106499128,2.0,0.6233240015364112,3.4302276059120524,2.2529316890026565,16.909206031013507,11.663255396864672,380.6523558891639,1943.8086211526252,0.7083803555152253,0.7424441240063646,8
