case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_velocity,coarse_alpha,coarse_elevator_deflection,coarse_elapsed_seconds,full_status,full_velocity,full_alpha,full_elevator_deflection,full_elapsed_seconds
60,1.1200860673947355,0.12051821113583024,0.6768324617598674,0.256000616080893,10,10,2.841807475264613,6.657619239096672,ok,30.29198676004796,1.8416807731665625,3.790899956383587,0.01557149994187057,ok,30.572147028289237,1.0134453651439392,0.9927380742777735,1.4828812000341713
61,1.6495584570973858,0.2618231232980291,0.5172706124974045,0.2230883521725282,7,2,1.906103524074867,4.948769189388544,ok,27.754108938223425,-0.09964307035346578,-2.3705705431282493,0.01598670007660985,ok,29.62292645280769,-0.992397167098315,-0.6911177924240879,1.6610615998506546
62,1.416096559028324,0.13013128007480132,0.6711912212307236,0.2732473178195343,7,4,2.2891388300501756,8.992703059982228,ok,29.98090337091071,0.8411811326037523,1.9181303251339321,0.015935800038278103,ok,30.47016411749748,0.2159480436675604,0.6811551994156886,1.5575327000115067
63,1.3563222226167393,0.1375085434429208,0.5300587401282153,0.1250351726032849,7,9,2.0539314738596786,3.802365048543349,ok,29.904287243184342,0.8575797208325907,1.3551497934492356,0.026958900038152933,ok,30.544662718679657,0.2128804775323753,0.5307057486587464,1.685371199855581
64,1.105140905620612,0.2607977278697609,0.5736165379520801,0.11501426167778528,6,10,2.0337510822378073,7.533527389681508,ok,28.773583344867838,0.7956959866445112,-3.191559958276314,0.015179699985310435,ok,30.120778901193628,-0.2972619429736505,-1.0097801610686428,1.5457363000605255
65,1.016830461958723,0.23726759785457618,0.6030703571408425,0.16662964269225153,10,9,3.5762567497600477,7.909421889387507,ok,29.177988468520457,1.1145477103518753,-3.033369095742941,0.014638499822467566,ok,30.228592983601562,0.09199332212475966,-1.0095424745592902,1.4674427998252213
66,0.8077972555813339,0.27735525751253387,0.31559696431709516,0.13453997342350646,6,10,1.008410190688996,7.796455766698738,ok,28.585871215174716,2.3926596728253275,-5.0677163394524,0.01725789997726679,ok,29.92991028144745,0.9114361240595757,-2.1751839309927643,1.4672079000156373
67,0.9667700003962402,0.12095907824588309,0.3931738773494078,0.15804087843029058,6,8,1.5410433473712122,7.917233153289105,ok,30.284765917204673,2.36228604250352,4.557658168522265,0.014607099816203117,ok,30.630629883284225,1.4449675845465448,1.2579127305034932,1.4951327999588102
68,1.7347105727103673,0.3316582562965953,0.4012408201129648,0.18058432934062363,6,2,3.8646349691103445,4.37273750363981,ok,26.23880661017235,-0.01212668916965129,-2.9530856240221603,0.017603999935090542,ok,28.95111213640114,-1.0896862507885725,-0.9397355419150613,1.5306849000044167
69,1.5068138589082034,0.27738665417305935,0.7223965805489412,0.1395650077088281,6,3,4.939792819011492,7.144993682115699,ok,28.003948783233707,-0.055896497801196765,-2.5629118882391975,0.01427519996650517,ok,29.75457181420204,-1.0499412867257083,-0.5895578789858884,1.55306959990412
70,1.6127547644678648,0.33024350486988957,0.5370597681753257,0.11397167000459993,10,5,2.672692271359676,4.811767300278741,ok,26.857810989157937,-0.06569099487542421,-2.932496544010688,0.01822199998423457,ok,29.274244588703,-1.1920100497611412,-0.8014647000085334,1.5652066001202911
71,1.0923010619308924,0.2695212957777199,0.6960851839538766,0.1588493446843225,3,8,0.6916993782371033,4.498999047521609,ok,28.783022819459507,0.7537205191520708,-3.2634659932939254,0.0159406999591738,ok,30.081183822717477,-0.37543151449649526,-0.9452542373372941,1.4767058999277651
72,1.5254119005116873,0.18924030744958334,0.8134554126496696,0.11778612853522319,8,3,1.9488329358167233,3.5725858810205184,ok,29.15736853135534,0.1464585823319645,-1.2164495015849448,0.014778200071305037,ok,30.220547016854297,-0.5236989799379539,-0.10961183240004571,1.5031949002295732
73,1.1329264949450704,0.3466626386726483,0.8332175743748333,0.2868610803618798,5,9,2.283070689378265,5.111374756650234,ok,27.98102432932283,0.5033080787344376,-3.6937047015144673,0.014935400104150176,ok,29.66787729918105,-0.9411208636726363,-0.8676217978306062,1.43542670016177
74,1.0701887451276098,0.23841434740764467,0.44485318191358886,0.09934720833025312,9,7,1.4306280554113135,4.250592687896261,ok,28.966455840431763,1.0219082308177028,-3.0046464910375996,0.01867280015721917,ok,30.206459235814304,0.001765932496241114,-1.0705118617028417,1.4149855999276042
75,1.103923084516297,0.27042509907312406,0.5989247832176172,0.0821085894119336,5,3,4.115780864097531,4.459181857506103,ok,28.686284058203416,0.7695092727717725,-3.3028047181485243,0.01781049999408424,ok,30.098839282842633,-0.3707400417214165,-1.018659402137553,1.431511600036174
76,0.8175641646933959,0.15389567918420763,0.7909642128576746,0.12515129037993114,10,9,0.7772149269593001,5.061663618831,ok,30.12631562051395,2.827458311144021,0.20916585741690977,0.015699800103902817,ok,30.422815422911764,1.816811208116378,-0.6330550226968902,1.4448848001193255
77,0.9578373940619953,0.16722200999682987,0.40756707796981567,0.12297818731033042,6,1,3.952424318240564,7.263952664847168,ok,29.87309164263348,1.7759284356928546,-0.6369877039635319,0.018126199953258038,ok,30.48626022510468,0.9072309118738086,-0.38639331491257667,1.472041100030765
78,0.8907387541512712,0.2551262945961752,0.7580507257359492,0.10044863710034531,10,8,4.5524388398385085,8.640747687144493,ok,29.21289306822107,1.5223688404404687,-3.7343412938516938,0.016715299803763628,ok,30.197668581398418,0.3510693861631802,-1.2787996779333342,1.5144846001639962
79,1.7443272100266605,0.14943431334119514,0.6200797511070293,0.09870354114245165,10,9,2.7834812252804495,5.753591442610647,ok,29.37939270157902,0.12755551676485655,0.272423824760395,0.016424099914729595,ok,30.31940623181555,-0.40650606596066075,0.38590732844451603,1.668812899850309
80,1.225997211625364,0.272105821045055,0.8672367731561348,0.2888958753565824,6,1,1.3572155885445414,8.669885213059665,ok,28.632364062545946,0.3608590653124425,-2.901976307310237,0.017486699856817722,ok,29.93392220038267,-0.7027892830933842,-0.6729590266424617,1.609932999825105
81,0.9106623874061545,0.3119660368808371,0.8790328215544683,0.09859394883433281,4,8,1.5722310615029815,2.5679367458770113,ok,28.715193084717953,1.2466288512533512,-4.250166802289609,0.019517000066116452,ok,29.994299286267008,-0.20295522696299476,-1.2167178749044913,1.5320003998931497
